Nazwa;kcal;Bialko;Tluszcz;Tluszcze nasycone;Tluszcze nienasycone mono;Tluszcze nienasycone bi;Weglowodany;Cukry;Blonnik;Komentarz
Indyk;83.0;19.0;7.0;0;0;0;0;0;0;
Ziemniaki;76.0;2.0;0;0;0;0;17.0;0;0;
Marchewka;41.0;1.0;0;0;0;0;10.0;5.0;0;
Cebula;39.0;1.0;0;0;0;0;9.0;4.0;0;
Brokul;33.0;3.0;0;0;0;0;7.0;1.7;2.6;
Kasza jeczmienna;343.0;8.3;1.8;0.4;0.3;1.0;69.0;1.0;15.6;
Sos Passata;32.0;1.8;0;0;0;0;4.6;4.4;0;
Czarna fasola konserwowa;114.0;6.2;0.8;0;0;0;17.0;0.8;6.9;
Indyk piers;83.0;19.2;0.7;0.2;0.3;0.2;0;0;0;
Jarmuz;49.0;4.3;0.9;0.1;0.1;0.3;9.0;0;3.6;
Fasola biala konserwowa;95.0;6.4;0.5;0;0;0;14.0;0.8;5.5;
Kukurydza konserwowa;80.0;3.0;1.9;0.4;0;0;11.0;5.6;2.0;
Olej lniany;884.0;0;100.0;9.0;18.0;68.0;0;0;0;
Soczewica suszona;313.0;24.0;1.6;0.3;0;0;39.0;4.2;24.0;
WPC 80;415.0;79.0;7.0;4.0;0;0;9.0;3.0;0;
Mleko 1.5;44.0;3.0;1.5;1.0;0;0;4.7;4.7;0;
